club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
24245,umraniyespor,Umraniyespor,TR1,,27,28.1,13,48.1,2,Ümraniye Belediyesi Şehir Stadı,3513,+-0,,https://www.transfermarkt.co.uk/umraniyespor/startseite/verein/24245
7775,hatayspor,Hatayspor,TR1,,21,28.1,9,42.9,4,Yeni Hatay Stadyumu,25000,€-410k,,https://www.transfermarkt.co.uk/hatayspor/startseite/verein/7775
276,hellas-verona,Hellas Verona,IT1,,29,26.1,18,62.1,5,Marcantonio Bentegodi,39211,€-5.34m,,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
410,udinese-calcio,Udinese Calcio,IT1,,26,24.9,21,80.8,8,Dacia Arena,25144,+€9.30m,,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
2381,sivasspor,Sivasspor,TR1,,29,29.0,17,58.6,5,Yeni 4 Eylül Stadı,27532,€-100k,,https://www.transfermarkt.co.uk/sivasspor/startseite/verein/2381
868,mke-ankaragucu,Mke Ankaragucu,TR1,,27,25.8,15,55.6,4,Eryaman Stadyumu,20560,€-1.55m,,https://www.transfermarkt.co.uk/mke-ankaragucu/startseite/verein/868
6646,fatih-karagumruk,Fatih Karagumruk,TR1,,30,26.2,17,56.7,5,Atatürk Olimpiyat,74753,+€1.83m,,https://www.transfermarkt.co.uk/fatih-karagumruk/startseite/verein/6646
416,fc-turin,Fc Turin,IT1,,28,24.4,23,82.1,16,Stadio Olimpico Grande Torino,28177,+€21.27m,,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
10484,kasimpasa,Kasimpasa,TR1,,32,27.3,17,53.1,4,Recep Tayyip Erdoğan Stadyumu,13856,+€4.80m,,https://www.transfermarkt.co.uk/kasimpasa/startseite/verein/10484
2293,konyaspor,Konyaspor,TR1,,27,27.0,14,51.9,6,Medaş Konya Büyükşehir Stadyumu,42000,+€6.76m,,https://www.transfermarkt.co.uk/konyaspor/startseite/verein/2293
